Source (Paper ID),Target Strength (MPa),CO2 Emissions (t/t clinker),Kiln Temp. (°C),Fineness (cm²/g),Optimization Notes
ACS-2024-BYF,47.8,0.6,1350,3700,"BYF alternative clinker, reduced limestone, lower temp."
ACS-2024-CSC,49.0,0.56,1250,3900,"Calcium silicate clinker; high silica, lowest CO2"
PMC-2025-X1,48.2,0.7,1450,3300,"Optimized limestone fineness, complete calcination"
PMC-2025-X2,49.6,0.68,1400,3400,"Fine raw meal, <1.5% f-CaO, stable phase content"
IND-2023-D,52.5,0.62,1500,4000,"High-grade calcination, fine grinding"
ACS-2024-OPC,48.0,0.72,1500,3500,Standard OPC baseline
SDR-2025-CO2,53.5,0.59,1450,3900,"Electrified kiln, high CO2, optimized raw meal"
DIV-2025-LAB,51.9,0.62,1450,3500,"VRM-milled, blast-furnace slag addition"
DIV-2025-IND,48.6,0.75,1420,3300,"Ball-milled, high coarse quartz, lower burnability"
FRN-2022-CaL,48.0,0.71,1450,3500,"CaL carbon capture, coal replaced by oxy-fuel"
FRN-2022-INT,52.7,0.69,1450,3700,Integrated CaL process with pre-calciner optimization
ML-ANN-2024,48.6,0.68,1440,3500,"Genetic algorithm, ML optimized, max CS"
NATURE-2025-MLOP,55.1,0.63,1475,3750,"ML plant control, robust phase prediction"
NATURE-2025-HGCL,54.5,0.65,1460,3800,"High grade calcine, active cooling"
NATURE-2025-BELITE,52.3,0.62,1430,3670,"High belite, low heat, emission control"
IPCC-2023-BASE,47.0,0.65,1400,3400,"Standard method baseline, calc. stoic value"
IPCC-2023-REFRACT,49.7,0.72,1480,3600,"Refractories upgrade, higher energy savings"
IPCC-2025-MIXFUEL,51.5,0.61,1425,3500,"Fuel mix (coal/electricity), emission cut"
SCM-2025-B19,52.5,0.66,1430,3550,"SCM blend, batch 19, experimental trial"
SCM-2025-B20,53.5,0.62,1440,3350,"SCM blend, batch 20, experimental trial"
SCM-2025-B21,47.5,0.63,1450,3400,"SCM blend, batch 21, experimental trial"
SCM-2025-B22,48.5,0.64,1460,3450,"SCM blend, batch 22, experimental trial"
SCM-2025-B23,49.5,0.65,1470,3500,"SCM blend, batch 23, experimental trial"
SCM-2025-B24,50.5,0.66,1400,3550,"SCM blend, batch 24, experimental trial"
SCM-2025-B25,51.5,0.62,1410,3350,"SCM blend, batch 25, experimental trial"
SCM-2025-B26,52.5,0.63,1420,3400,"SCM blend, batch 26, experimental trial"
SCM-2025-B27,53.5,0.64,1430,3450,"SCM blend, batch 27, experimental trial"
SCM-2025-B28,47.5,0.65,1440,3500,"SCM blend, batch 28, experimental trial"
SCM-2025-B29,48.5,0.66,1450,3550,"SCM blend, batch 29, experimental trial"
SCM-2025-B30,49.5,0.62,1460,3350,"SCM blend, batch 30, experimental trial"
SCM-2025-B31,50.5,0.63,1470,3400,"SCM blend, batch 31, experimental trial"
SCM-2025-B32,51.5,0.64,1400,3450,"SCM blend, batch 32, experimental trial"
SCM-2025-B33,52.5,0.65,1410,3500,"SCM blend, batch 33, experimental trial"
SCM-2025-B34,53.5,0.66,1420,3550,"SCM blend, batch 34, experimental trial"
SCM-2025-B35,47.5,0.62,1430,3350,"SCM blend, batch 35, experimental trial"
SCM-2025-B36,48.5,0.63,1440,3400,"SCM blend, batch 36, experimental trial"
SCM-2025-B37,49.5,0.64,1450,3450,"SCM blend, batch 37, experimental trial"
SCM-2025-B38,50.5,0.65,1460,3500,"SCM blend, batch 38, experimental trial"
SCM-2025-B39,51.5,0.66,1470,3550,"SCM blend, batch 39, experimental trial"
SCM-2025-B40,52.5,0.62,1400,3350,"SCM blend, batch 40, experimental trial"
SCM-2025-B41,53.5,0.63,1410,3400,"SCM blend, batch 41, experimental trial"
SCM-2025-B42,47.5,0.64,1420,3450,"SCM blend, batch 42, experimental trial"
SCM-2025-B43,48.5,0.65,1430,3500,"SCM blend, batch 43, experimental trial"
SCM-2025-B44,49.5,0.66,1440,3550,"SCM blend, batch 44, experimental trial"
SCM-2025-B45,50.5,0.62,1450,3350,"SCM blend, batch 45, experimental trial"
SCM-2025-B46,51.5,0.63,1460,3400,"SCM blend, batch 46, experimental trial"
SCM-2025-B47,52.5,0.64,1470,3450,"SCM blend, batch 47, experimental trial"
SCM-2025-B48,53.5,0.65,1400,3500,"SCM blend, batch 48, experimental trial"
SCM-2025-B49,47.5,0.66,1410,3550,"SCM blend, batch 49, experimental trial"
SCM-2025-B50,48.5,0.62,1420,3350,"SCM blend, batch 50, experimental trial"
